,DEPARTAMENTO,MUNICIPIO,CODIGO REGISTRO,FECHA REGISTRO,CAEB_SEP,CIRC,NOMBRE DE LA UNIDAD
8938,COCHABAMBA,COCHABAMBA,0301011020,2018-04-03,15132,4,VERFRUSH
8939,LA PAZ,EL ALTO,0201040178,2018-04-04,17111,3,ALTIFIBERTS SA.
8940,COCHABAMBA,QUILLACOLLO,0309010331,2018-04-04,15411,4,"""PANADERIA DILAN"""
8941,LA PAZ,EL ALTO,0201040178,2018-04-04,17112,3,ALTIFIBERTS SA.
8942,LA PAZ,EL ALTO,0201043591,2018-04-05,19202,4,VALEYU SRL.
8943,SANTA CRUZ,PORTACHUELO,0706010040,2018-04-06,15330,4,MOLINO PIO RICO S.R.L.
8944,COCHABAMBA,COCHABAMBA,0301011019,2018-04-06,20100,4,BARRACA Y CARPINTERIA JUAN SOLIZ RODRIGUEZ
8945,COCHABAMBA,COCHABAMBA,0301011019,2018-04-06,20230,4,BARRACA Y CARPINTERIA JUAN SOLIZ RODRIGUEZ
8946,CHUQUISACA,SUCRE,0101010362,2018-04-07,15311,4,MOLINO AYARACHI
8947,CHUQUISACA,SUCRE,0101010362,2018-04-07,15313,4,MOLINO AYARACHI
8948,COCHABAMBA,COCHABAMBA,0301011023,2018-04-09,28920,4,TALLER COMPACTO
8949,LA PAZ,EL ALTO,0201043593,2018-04-09,36101,4,CARPINTERIA CARVAJAL
8950,LA PAZ,EL ALTO,0201043592,2018-04-09,15499,4,NATURALCOS SA.
8951,COCHABAMBA,COCHABAMBA,0301011022,2018-04-09,17120,4,LAVANDERIA MIRIAN
8952,CHUQUISACA,SUCRE,0101010357,2018-04-09,15411,4,P'ANADERIA CRUZ
8953,COCHABAMBA,COCHABAMBA,0301011022,2018-04-09,17120,4,LAVANDERIA MIRIAN
8954,SANTA CRUZ,LA GUARDIA,0701040019,2018-04-09,15530,2,CERVECCERIA BOLIVIANA NACIONAL S.A.
8955,COCHABAMBA,COLCAPIRHUA,0309050165,2018-04-10,25110,4,GRUPO EMPRESARIAL DAZA SRL (SUCURSAL COCHABAMBA)
8956,COCHABAMBA,QUILLACOLLO,0309010071,2018-04-10,15203,4,DERROCHE INDUSTRIAS ALIMENTICIAS
8957,COCHABAMBA,QUILLACOLLO,0309010071,2018-04-10,15133,4,DERROCHE INDUSTRIAS ALIMENTICIAS
8958,LA PAZ,EL ALTO,0201043594,2018-04-10,37200,3,LA REYNERA SRL.
8959,COCHABAMBA,QUILLACOLLO,0309010071,2018-04-10,15131,4,DERROCHE INDUSTRIAS ALIMENTICIAS
8960,LA PAZ,EL ALTO,0201043594,2018-04-10,36990,3,LA REYNERA SRL.
8961,LA PAZ,EL ALTO,0201040783,2018-04-11,37200,3,MARECBOL
8962,LA PAZ,EL ALTO,0201043595,2018-04-11,15411,4,PANADERIA HUANCA
8963,ORURO,ORURO,0401010839,2018-04-11,15411,4,"PANADERIA ""COLLASUYO"""
8964,COCHABAMBA,SACABA,0310010244,2018-04-11,34200,4,METAL MECANICA DE OMNIBUSES Y PARTES S.A.
8965,LA PAZ,EL ALTO,0201040783,2018-04-11,25201,3,MARECBOL
8966,SANTA CRUZ,WARNES,0702010052,2018-04-13,26930,3,INDUSTRIA DE CERÁMICA SÁNCHEZ LTDA.
8967,SANTA CRUZ,WARNES,0702010159,2018-04-13,15542,4,A&A SOLUTIONS S.R.L.
8968,SANTA CRUZ,LA GUARDIA,0070104063,2018-04-13,15330,4,ALIMENTOS BALACEADOS ZABALA
8969,SANTA CRUZ,WARNES,0702010159,2018-04-13,15543,4,A&A SOLUTIONS S.R.L.
